age,km,hp_kw,gears,weight_kg,displacement_cc,previous_owners,inspection_new,body_type_Compact,body_type_Coupe,body_type_Sedans,body_type_Station wagon,body_type_Transporter,body_type_Van,upholstery_type_Cloth,upholstery_type_Part/Full Leather,gearing_type_Automatic,gearing_type_Manual,gearing_type_Semi-automatic,fuel_Benzine,fuel_Diesel,fuel_Electric,fuel_LPG/CNG,make_Audi,make_Opel,make_Renault,model_A1,model_A3,model_Astra,model_Clio,model_Corsa,model_Espace,model_Insignia
3.0,57500.0,70.0,5.0,1180.0,999.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,73945.0,70.0,5.0,1110.0,999.0,1.0,1,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,96000.0,66.0,5.0,1195.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,43120.0,60.0,5.0,1110.0,999.0,2.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,110715.0,66.0,5.0,1180.0,1422.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,31971.0,60.0,5.0,1110.0,999.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,94800.0,66.0,5.0,1180.0,1422.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,85000.0,66.0,5.0,1180.0,1422.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,111265.0,66.0,5.0,1180.0,1422.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,44120.0,66.0,5.0,1135.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,97976.0,70.0,5.0,1110.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,106000.0,66.0,5.0,1195.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,60000.0,85.0,5.0,1250.0,1598.0,0.0,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,58000.0,60.0,5.0,1180.0,999.0,2.0,1,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,57454.0,60.0,5.0,1675.0,999.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,94055.0,66.0,5.0,1180.0,1422.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,56000.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,27600.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,111670.0,85.0,5.0,1250.0,1598.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,30500.0,66.0,5.0,1180.0,1422.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,69500.0,70.0,5.0,1180.0,999.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,43500.0,60.0,5.0,1180.0,999.0,1.0,0,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,45696.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,34000.0,66.0,5.0,1165.0,1422.0,2.0,0,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,55000.0,70.0,5.0,1110.0,999.0,2.0,0,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,99000.0,66.0,5.0,1205.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,118500.0,70.0,5.0,1110.0,999.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,85000.0,70.0,5.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,192000.0,85.0,5.0,1250.0,1598.0,1.0,1,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,130000.0,66.0,5.0,1180.0,1422.0,1.0,1,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,41294.0,71.0,7.0,1065.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,64000.0,85.0,7.0,1720.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,13135.0,70.0,7.0,1625.0,999.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,4250.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,2949.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,17861.0,71.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,22800.0,92.0,7.0,1180.0,1395.0,1.0,0,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,5108.0,70.0,7.0,1165.0,999.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,11335.0,70.0,7.0,1135.0,999.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,6396.0,70.0,7.0,1135.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,47800.0,85.0,7.0,1180.0,1598.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,7021.0,70.0,7.0,1180.0,929.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,30952.0,92.0,7.0,1180.0,1395.0,1.0,0,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,33991.0,92.0,7.0,1135.0,1395.0,1.0,1,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,35800.0,66.0,7.0,1135.0,1422.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,7672.0,85.0,7.0,1630.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,13406.0,85.0,7.0,1135.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,8430.0,70.0,7.0,1180.0,999.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,40488.0,85.0,5.0,1250.0,1598.0,1.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,24200.0,66.0,7.0,1195.0,1422.0,2.0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,26500.0,66.0,7.0,1180.0,1422.0,2.0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,58806.0,71.0,7.0,1065.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,39000.0,85.0,7.0,1250.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
2.0,16700.0,92.0,7.0,1215.0,1395.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,41900.0,92.0,7.0,1135.0,1395.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,15093.0,92.0,7.0,1180.0,1395.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,5211.0,66.0,7.0,1135.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,12000.0,70.0,7.0,1180.0,999.0,2.0,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,50066.0,92.0,7.0,1180.0,1395.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,51484.0,71.0,7.0,1065.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14770.0,85.0,7.0,1135.0,1598.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,12415.0,85.0,7.0,1275.0,1598.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,26064.0,85.0,7.0,1275.0,1598.0,2.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,16500.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,9000.0,92.0,7.0,1215.0,1395.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,12402.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14702.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14523.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9082.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9580.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,10013.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,10450.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,14878.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,10273.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,47500.0,71.0,7.0,1065.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9466.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,18971.0,85.0,7.0,1200.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,31877.0,70.0,7.0,1165.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,9878.0,85.0,5.0,1175.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,17535.0,70.0,7.0,1180.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,76264.0,92.0,7.0,1115.0,1395.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,6695.0,70.0,7.0,1180.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,21275.0,92.0,7.0,1135.0,1395.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,12261.0,66.0,7.0,1665.0,1422.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,3620.0,70.0,7.0,1135.0,999.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
1.0,8330.0,85.0,5.0,1250.0,1598.0,1.0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,20306.0,70.0,7.0,1165.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
0.0,1.0,85.0,7.0,1200.0,999.0,1.0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,27000.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
3.0,31750.0,92.0,7.0,1180.0,1395.0,1.0,1,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,19800.0,70.0,7.0,1165.0,999.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,52000.0,85.0,7.0,1275.0,1598.0,1.0,0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
